code,l1,desc
97Bxx,97,Educational policy and systems
97Cxx,97,"Psychology of mathematics education, research in mathematics education"
97Dxx,97,Education and instruction in mathematics
97Exx,97,Education of foundations of mathematics
97Fxx,97,Education of arithmetic and number theory
97Gxx,97,Geometry education
97Hxx,97,Algebra education
97Ixx,97,Analysis education
97Kxx,97,"Education of combinatorics, graph theory, probability theory, and statistics"
97Mxx,97,Education of mathematical modeling and applications of mathematics
97Nxx,97,Education of numerical mathematics
97Pxx,97,Computer science (educational aspects)
97Uxx,97,Educational material and media and educational technology in mathematics
