code,l1,desc
20Dxx,20,Abstract finite groups
20Exx,20,Structure and classification of infinite or finite groups
20Fxx,20,Special aspects of infinite or finite groups
20Gxx,20,"Linear algebraic groups and related topics {For arithmetic theory, see 11E57,"
20Hxx,20,Other groups of matrices [See also 15A30]
20Jxx,20,Connections of group theory with homological algebra and category theory
20Kxx,20,Abelian groups
20Lxx,20,Groupoids (i.e. small categories in which all morphisms are isomorphisms) {For
20Mxx,20,Semigroups
20Nxx,20,Other generalizations of groups
20Pxx,20,Probabilistic methods in group theory [See also 60Bxx]
22Axx,22,Topological and differentiable algebraic systems {For topological rings and
22Bxx,22,Locally compact abelian groups (LCA groups)
22Cxx,22,Compact groups
22Dxx,22,Locally compact groups and their algebras
22Exx,22,"Lie groups {For the topology of Lie groups and homogeneous spaces, see 57Sxx,"
22Fxx,22,Noncompact transformation groups
26Axx,26,Functions of one variable
26Bxx,26,Functions of several variables
26Cxx,26,"Polynomials, rational functions in real analysis"
26Dxx,26,"Inequalities in real analysis {For maximal function inequalities, see 42B25; for"
26Exx,26,Miscellaneous topics in real functions [See also 58Cxx]
28Axx,28,Classical measure theory
28Bxx,28,"Set functions, measures and integrals with values in abstract spaces"
28Cxx,28,"Set functions and measures on spaces with additional structure [See also 46G12,"
28Dxx,28,"Measure-theoretic ergodic theory [See also 11K50, 11K55, 22D40, 37Axx,"
28Exx,28,Miscellaneous topics in measure theory
30Axx,30,General properties of functions of one complex variable
30Bxx,30,Series expansions of functions of one complex variable
30Cxx,30,Geometric function theory
30Dxx,30,"Entire and meromorphic functions of one complex variable, and related topics"
30Exx,30,Miscellaneous topics of analysis in the complex plane
30Fxx,30,Riemann surfaces
30Gxx,30,Generalized function theory
30Hxx,30,Spaces and algebras of analytic functions of one complex variable
30Jxx,30,Function theory on the disc
30Kxx,30,Universal holomorphic functions of one complex variable
30Lxx,30,Analysis on metric spaces
31Axx,31,Two-dimensional potential theory
31Bxx,31,Higher-dimensional potential theory
31Cxx,31,Generalizations of potential theory
31Dxx,31,Axiomatic potential theory
31Exx,31,Potential theory on fractals and metric spaces
32Axx,32,Holomorphic functions of several complex variables
32Bxx,32,"Local analytic geometry [See also 13-XX, 14-XX]"
32Cxx,32,Analytic spaces
32Dxx,32,Analytic continuation
32Exx,32,Holomorphic convexity
32Fxx,32,Geometric convexity in several complex variables
32Gxx,32,Deformations of analytic structures
32Hxx,32,Holomorphic mappings and correspondences
32Jxx,32,"Compact analytic spaces {For Riemann surfaces, see 14Hxx, 30Fxx; for algebraic"
32Kxx,32,Generalizations of analytic spaces
32Lxx,32,Holomorphic fiber spaces [See also 55Rxx]
32Mxx,32,Complex spaces with a group of automorphisms
32Nxx,32,"Automorphic functions [See also 11Fxx, 20H10, 22E40, 30F35]"
32Pxx,32,Non-Archimedean analysis [Should also be assigned at least one other classification number from Section 32 describing the type of problem]
32Qxx,32,Complex manifolds
32Sxx,32,Complex singularities [See also 58Kxx]
32Txx,32,Pseudoconvex domains
32Uxx,32,Pluripotential theory
32Vxx,32,CR manifolds
32Wxx,32,Differential operators in several variables
33Bxx,33,Elementary classical functions
33Cxx,33,Hypergeometric functions
33Dxx,33,Basic hypergeometric functions
33Exx,33,Other special functions
33Fxx,33,"Computational aspects of special functions {For software etc., see 33-04}"
34Axx,34,General theory for ordinary differential equations
34Bxx,34,"Boundary value problems for ordinary differential equations {For ordinary differential operators, see 34Lxx}"
34Cxx,34,Qualitative theory for ordinary differential equations [See also 37-XX]
34Dxx,34,"Stability theory for ordinary differential equations [See also 37C75, 93Dxx]"
34Exx,34,Asymptotic theory for ordinary differential equations
34Fxx,34,"Ordinary differential equations and systems with randomness [See also 34K50,"
34Gxx,34,"Differential equations in abstract spaces [See also 34K30, 47Jxx, 58D25]"
34Hxx,34,"Control problems involving ordinary differential equations [See also 49J15,"
34Kxx,34,"Functional-differential equations (including equations with delayed, advanced"
34Lxx,34,Ordinary differential operators [See also 47E05]
34Mxx,34,"Ordinary differential equations in the complex domain [See also 30Dxx, 32G34]"
34Nxx,34,Dynamic equations on time scales or measure chains {For real analysis on time
35Axx,35,General topics in partial differential equations
35Bxx,35,Qualitative properties of solutions to partial differential equations
35Cxx,35,Representations of solutions to partial differential equations
35Dxx,35,Generalized solutions to partial differential equations
35Exx,35,Partial differential equations and systems of partial differential equations with
35Fxx,35,General first-order partial differential equations and systems of first-order partial differential equations
35Gxx,35,General higher-order partial differential equations and systems of higher-order
35Hxx,35,Close-to-elliptic equations
35Jxx,35,"Elliptic equations and elliptic systems {For global analysis, analysis on manifolds,"
35Kxx,35,"Parabolic equations and parabolic systems {For global analysis, analysis on"
35Lxx,35,"Hyperbolic equations and hyperbolic systems {For global analysis, see 58J45}"
35Mxx,35,Partial differential equations of mixed type and mixed-type systems of partial
35Nxx,35,"Overdetermined problems for partial differential equations and systems of partial differential equations {For global analysis, see 58Hxx, 58J10, 58J15}"
35Pxx,35,Spectral theory and eigenvalue problems for partial differential equations {For
35Qxx,35,"Partial differential equations of mathematical physics and other areas of application [See also 35J05, 35J10, 35K05, 35L05]"
35Rxx,35,"Miscellaneous topics in partial differential equations {For equations on manifolds, see 32Wxx, 58Jxx; for manifolds of solutions, see 58Bxx; for stochastic PDEs,"
35Sxx,35,"Pseudodifferential operators and other generalizations of partial differential operators {For operator theory, see 47G30, 58J40}"
37Axx,37,Ergodic theory [See also 28Dxx]
37Bxx,37,Topological dynamics
37Cxx,37,"Smooth dynamical systems: general theory [See also 34Cxx, 34Dxx]"
37Dxx,37,Dynamical systems with hyperbolic behavior
37Exx,37,Low-dimensional dynamical systems
37Fxx,37,"Dynamical systems over complex numbers [See also 30D05, 32H50]"
37Gxx,37,"Local and nonlocal bifurcation theory for dynamical systems [See also 34C23,"
37Hxx,37,"Random dynamical systems [See also 15B52, 34Fxx, 47B80, 70L05, 82C05,"
37Jxx,37,Dynamical aspects of finite-dimensional Hamiltonian and Lagrangian systems
37Kxx,37,Dynamical system aspects of infinite-dimensional Hamiltonian and Lagrangian
37Lxx,37,"Infinite-dimensional dissipative dynamical systems [See also 35Bxx, 35Qxx]"
37Mxx,37,Approximation methods and numerical treatment of dynamical systems {For
37Nxx,37,Applications of dynamical systems
37Pxx,37,"Arithmetic and non-Archimedean dynamical systems [See also 11S82, 37A44]"
39Axx,39,"Difference equations {For dynamic equations on time scales, see 34N05; for"
39Bxx,39,Functional equations and inequalities [See also 30D05]
40Axx,40,Convergence and divergence of infinite limiting processes
40Bxx,40,Multiple sequences and series
40Cxx,40,General summability methods
40Dxx,40,Direct theorems on summability
40Exx,40,Inversion theorems
40Fxx,40,Absolute and strong summability [Should also be assigned at least one other
40Gxx,40,Special methods of summability
40Hxx,40,Functional analytic methods in summability
40Jxx,40,Summability in abstract structures [Should also be assigned at least one other
41Axx,41,Approximations and expansions {For approximation theory in the complex
42Axx,42,Harmonic analysis in one variable
42Bxx,42,"Harmonic analysis in several variables {For automorphic theory, see mainly"
42Cxx,42,Nontrigonometric harmonic analysis
43Axx,43,"Abstract harmonic analysis {For other analysis on topological and Lie groups,"
44Axx,44,"Integral transforms, operational calculus {For fractional derivatives and integrals, see 26A33; for Fourier transforms, see 42A38, 42B10; for integral transforms in"
45Axx,45,Linear integral equations
45Bxx,45,Fredholm integral equations
45Cxx,45,"Eigenvalue problems for integral equations [See also 34Lxx, 35Pxx, 45P05,"
45Dxx,45,Volterra integral equations [See also 34A12]
45Exx,45,"Singular integral equations [See also 30E20, 30E25, 44A15, 44A35]"
45Fxx,45,Systems of linear integral equations
45Gxx,45,"Nonlinear integral equations [See also 47H30, 47Jxx]"
45Hxx,45,Integral equations with miscellaneous special kernels [See also 44A15]
45Jxx,45,"Integro-ordinary differential equations [See also 34K05, 34K30, 47G20]"
45Kxx,45,"Integro-partial differential equations [See also 34K30, 35R09, 35R10, 47G20]"
45Lxx,45,Theoretical approximation of solutions to integral equations {For numerical
45Mxx,45,Qualitative behavior of solutions to integral equations
45Nxx,45,"Abstract integral equations, integral equations in abstract spaces"
45Pxx,45,"Integral operators [See also 47B38, 47G10]"
45Qxx,45,Inverse problems for integral equations
45Rxx,45,Random integral equations [See also 60H20]
46Axx,46,"Topological linear spaces and related structures {For function spaces, see"
46Bxx,46,"Normed linear spaces and Banach spaces; Banach lattices {For function spaces,"
46Cxx,46,"Inner product spaces and their generalizations, Hilbert spaces {For function"
